epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,47.7718,2.67789,4.98048,1.69788,0.00259,0.82353,0.00392,0.00149,1.67791,4.45914,1.38368,0.00016,0.00016,0.00016
2,100.087,2.206,4.20082,1.32818,0.00296,0.94118,0.00503,0.00189,1.70347,4.23057,1.2681,0.000333268,0.000333268,0.000333268
3,160.099,2.14982,3.64872,1.22439,0.00278,0.88235,0.00615,0.00268,1.57277,4.11963,1.30707,0.000499408,0.000499408,0.000499408
4,210.296,2.03999,3.0139,1.29114,0.00278,0.88235,0.00558,0.00271,1.42806,3.962,1.23306,0.00065842,0.00065842,0.00065842
5,260.896,1.92072,2.87765,1.23771,0.00185,0.58824,0.00179,0.00097,1.4675,4.15644,1.27022,0.000810304,0.000810304,0.000810304
6,310.235,1.91074,3.11086,1.18239,0.00074,0.23529,0.00033,0.00014,1.6552,4.51613,1.44462,0.00095506,0.00095506,0.00095506
7,357.189,1.87408,2.872,1.20958,0.00241,0.76471,0.0042,0.00224,1.63073,4.0225,1.28328,0.00109269,0.00109269,0.00109269
8,405.296,1.85381,2.53668,1.22469,0.47253,0.52941,0.50302,0.28145,1.63881,3.49622,1.34828,0.00122319,0.00122319,0.00122319
9,463.673,1.98458,2.56559,1.17277,1,0.26214,0.4931,0.2473,1.6344,3.54229,1.37821,0.00134656,0.00134656,0.00134656
10,516.464,2.07587,3.04893,1.1344,1,0.23412,0.55463,0.26994,1.81585,3.59026,1.38626,0.0014628,0.0014628,0.0014628
11,572.117,1.95942,2.49485,1.13941,0.54827,0.35732,0.65031,0.37252,1.42156,2.96794,1.17999,0.00157192,0.00157192,0.00157192
12,624.802,1.72362,2.50953,1.10767,0.75518,0.52941,0.66258,0.35932,1.53639,2.76512,1.17089,0.0015644,0.0015644,0.0015644
13,678.719,1.89573,2.35367,1.15003,0.7084,0.28685,0.56335,0.21992,1.6698,3.24485,1.24603,0.0015248,0.0015248,0.0015248
14,731.858,1.76248,2.37255,1.1534,0.61647,0.23529,0.44266,0.21673,1.7312,3.58331,1.28041,0.0014852,0.0014852,0.0014852
15,789.892,1.73748,2.36543,1.06285,0.57412,0.31869,0.42869,0.21362,1.73227,3.31752,1.27339,0.0014456,0.0014456,0.0014456
16,841.331,1.80403,2.15419,1.09159,1,0.40186,0.57498,0.2591,1.67947,2.88792,1.24922,0.001406,0.001406,0.001406
17,892.682,1.691,2.19288,1.09246,0.7071,0.42708,0.6285,0.27514,1.61638,2.917,1.26158,0.0013664,0.0013664,0.0013664
18,948.316,1.83255,2.24857,1.10172,0.71068,0.43479,0.59233,0.3518,1.53408,2.89893,1.18871,0.0013268,0.0013268,0.0013268
19,1002.73,1.77939,2.274,1.10035,0.70741,0.64706,0.64039,0.38267,1.61745,2.441,1.24079,0.0012872,0.0012872,0.0012872
20,1053.19,1.63764,1.9869,1.08481,0.67314,0.64706,0.63604,0.37309,1.58132,2.34143,1.26662,0.0012476,0.0012476,0.0012476
21,1108.78,1.63535,2.01491,1.09277,0.62224,0.67903,0.66898,0.37738,1.56813,2.31209,1.30455,0.001208,0.001208,0.001208
22,1160.38,1.69975,1.83029,1.07184,0.72745,0.6289,0.72295,0.41265,1.55129,2.22648,1.29032,0.0011684,0.0011684,0.0011684
23,1210.76,1.63598,2.01281,1.04834,0.79443,0.76471,0.74562,0.414,1.53992,2.08426,1.2647,0.0011288,0.0011288,0.0011288
24,1263.8,1.61733,1.87184,1.04785,0.72163,0.76256,0.72352,0.41079,1.5671,1.99434,1.28168,0.0010892,0.0010892,0.0010892
25,1325.11,1.54116,1.75212,1.05183,0.87648,0.64706,0.7199,0.43431,1.46799,2.19271,1.1607,0.0010496,0.0010496,0.0010496
26,1381.74,1.62117,1.75463,1.04612,0.84647,0.64876,0.72355,0.42213,1.43878,2.30704,1.15296,0.00101,0.00101,0.00101
27,1432.66,1.52915,1.66918,1.02155,0.86936,0.58824,0.70056,0.41431,1.59401,2.17402,1.23435,0.0009704,0.0009704,0.0009704
28,1471.22,1.60774,1.62799,1.04233,0.80395,0.58824,0.64906,0.36097,1.70415,2.40693,1.3083,0.0009308,0.0009308,0.0009308
29,1510.23,1.64843,1.76286,1.06464,0.68873,0.52941,0.56938,0.32791,1.61149,2.56412,1.27857,0.0008912,0.0008912,0.0008912
30,1549.57,1.54056,1.78742,1.0483,0.79365,0.45377,0.57583,0.31726,1.61141,2.80146,1.30102,0.0008516,0.0008516,0.0008516
31,1589.22,1.49288,1.69661,1.0306,0.86949,0.3936,0.58671,0.32504,1.58773,2.84907,1.3209,0.000812,0.000812,0.000812
32,1628.39,1.51448,1.69097,1.03014,0.86286,0.47059,0.61761,0.32668,1.53451,2.68128,1.32346,0.0007724,0.0007724,0.0007724
33,1668.03,1.51421,1.71401,1.05088,0.88336,0.44717,0.63285,0.33116,1.56439,2.75732,1.33221,0.0007328,0.0007328,0.0007328
34,1713.47,1.4576,1.59306,1.02694,0.66164,0.58824,0.67977,0.36828,1.59231,2.40356,1.2909,0.0006932,0.0006932,0.0006932
35,1758.49,1.37233,1.51881,0.99457,0.67627,0.76471,0.74084,0.40535,1.61282,1.97237,1.26331,0.0006536,0.0006536,0.0006536
